week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.0919,28,0.3557,0.4786,-0.3214,2024-10-18,2024-10-19
2024-10-21/2024-10-27,0.1499,799,0.7184,0.7033,0.3605,2024-10-22,2024-10-26
2024-10-28/2024-11-03,0.0615,18,0.4228,0.6278,-0.0556,2024-10-28,2024-11-01
2024-11-04/2024-11-10,-0.0494,2,0.34,0.9,-0.5,2024-11-04,2024-11-05
2024-11-11/2024-11-17,-0.0765,25,0.3976,0.524,-0.16,2024-11-12,2024-11-15
2024-11-18/2024-11-24,0.0213,46,0.1887,0.4413,0.087,2024-11-19,2024-11-24
2024-11-25/2024-12-01,-0.0012,42,0.1981,0.4071,-0.1429,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.0,18,0.1933,0.3111,0.0,2024-12-03,2024-12-06
2024-12-09/2024-12-15,-0.0029,81,0.4625,0.5,-0.0494,2024-12-10,2024-12-14
2024-12-16/2024-12-22,-0.2588,5,0.344,0.62,0.0,2024-12-16,2024-12-22
2024-12-23/2024-12-29,-0.1534,11,0.4436,0.7455,-0.3636,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.1764,9,0.86,0.8,-0.3333,2025-01-03,2025-01-04
2025-01-06/2025-01-12,-0.0854,19,0.4563,0.6895,-0.0526,2025-01-06,2025-01-10
2025-01-13/2025-01-19,-0.0251,107,0.3978,0.3383,-0.1963,2025-01-13,2025-01-16
2025-01-20/2025-01-26,-0.0022,13,0.1154,0.3769,0.0,2025-01-20,2025-01-26
2025-01-27/2025-02-02,-0.1072,1252,0.6931,0.6088,-0.2508,2025-01-29,2025-02-01
2025-02-03/2025-02-09,-0.0801,92,0.3915,0.6522,-0.1304,2025-02-04,2025-02-09
2025-02-10/2025-02-16,0.0252,21,0.2343,0.6429,0.0476,2025-02-10,2025-02-15
2025-02-17/2025-02-23,0.0216,298,0.1735,0.3419,0.1711,2025-02-17,2025-02-23
2025-02-24/2025-03-02,-0.0143,82,0.3249,0.5073,0.0244,2025-02-24,2025-03-01
2025-03-03/2025-03-09,-0.0276,18,0.3011,0.3556,-0.0556,2025-03-04,2025-03-08
2025-03-10/2025-03-16,-0.0306,74,0.3292,0.5378,0.027,2025-03-10,2025-03-15
2025-03-17/2025-03-23,-0.0018,19,0.3684,0.3789,-0.0526,2025-03-20,2025-03-23
2025-03-24/2025-03-30,0.1506,18,0.3333,0.5556,0.6111,2025-03-25,2025-03-30
2025-03-31/2025-04-06,0.1403,30,0.3823,0.5,0.4,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.4179,11,0.6518,0.7636,-0.4545,2025-04-09,2025-04-11
2025-04-14/2025-04-20,-0.0,11,0.6073,0.8364,0.0,2025-04-14,2025-04-17
2025-04-21/2025-04-27,0.1794,366,0.6744,0.7754,0.3689,2025-04-21,2025-04-24
2025-04-28/2025-05-04,-0.0051,100,0.406,0.51,-0.18,2025-04-28,2025-05-02
2025-05-05/2025-05-11,0.0421,257,0.3054,0.7187,0.0233,2025-05-06,2025-05-10
2025-05-12/2025-05-18,0.0969,36,0.545,0.575,0.25,2025-05-12,2025-05-16
2025-05-19/2025-05-25,-0.093,38,0.4558,0.6289,-0.3421,2025-05-19,2025-05-23
2025-05-26/2025-06-01,0.1502,203,0.4553,0.5217,0.5911,2025-05-28,2025-05-31
2025-06-02/2025-06-08,-0.0014,219,0.2778,0.732,-0.0046,2025-06-02,2025-06-05
2025-06-09/2025-06-15,-0.001,5,0.318,0.76,-0.2,2025-06-10,2025-06-14
2025-06-16/2025-06-22,-0.0132,5,0.412,0.72,0.2,2025-06-17,2025-06-22
2025-06-23/2025-06-29,0.1957,82,0.4537,0.722,0.4878,2025-06-25,2025-06-29
2025-06-30/2025-07-06,-0.0265,13,0.3746,0.7154,-0.0769,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0748,18,0.3194,0.6833,0.3333,2025-07-08,2025-07-13
2025-07-14/2025-07-20,0.1188,32,0.2891,0.6438,0.0938,2025-07-15,2025-07-19
2025-07-21/2025-07-27,0.0213,534,0.5714,0.7567,0.0562,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.1899,140,0.3094,0.7857,0.6714,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.1715,48,0.2229,0.5396,0.3542,2025-08-04,2025-08-08
2025-08-11/2025-08-17,0.191,134,0.4546,0.6843,0.3881,2025-08-12,2025-08-17
2025-08-18/2025-08-24,0.254,10,0.195,0.4,0.2,2025-08-18,2025-08-22
2025-08-25/2025-08-31,0.1099,37,0.2822,0.6649,0.3784,2025-08-25,2025-08-28
2025-09-01/2025-09-07,0.1705,11,0.5945,0.7636,0.3636,2025-09-02,2025-09-07
2025-09-08/2025-09-14,0.1992,22,0.4236,0.7773,0.5909,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.2006,18,0.4244,0.7722,0.3889,2025-09-15,2025-09-20
2025-09-22/2025-09-28,0.0443,25,0.3888,0.8,0.36,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.0718,27,0.6126,0.8,0.2593,2025-09-30,2025-10-05
2025-10-06/2025-10-12,0.03,9,0.2178,0.8,0.4444,2025-10-07,2025-10-09
